Timestamp,Predicted_Throughput
2026-01-31 00:00:00,80.08805
2026-01-31 01:00:00,73.207054
2026-01-31 02:00:00,74.45227
2026-01-31 03:00:00,74.70814
2026-01-31 04:00:00,77.10085
2026-01-31 05:00:00,85.57113
2026-01-31 06:00:00,101.56764
2026-01-31 07:00:00,123.896614
2026-01-31 08:00:00,148.20589
2026-01-31 09:00:00,166.25356
2026-01-31 10:00:00,169.324
2026-01-31 11:00:00,155.34377
2026-01-31 12:00:00,132.54076
2026-01-31 13:00:00,114.51789
2026-01-31 14:00:00,111.54436
2026-01-31 15:00:00,126.815926
2026-01-31 16:00:00,156.77
2026-01-31 17:00:00,192.025
2026-01-31 18:00:00,218.05023
2026-01-31 19:00:00,222.64671
2026-01-31 20:00:00,205.3613
2026-01-31 21:00:00,174.61975
2026-01-31 22:00:00,140.56802
2026-01-31 23:00:00,106.52583
