Timestamp,Predicted_Throughput
2026-01-31 00:00:00,80.08805
2026-01-31 01:00:00,73.207054
2026-01-31 02:00:00,74.45227
2026-01-31 03:00:00,74.70814
2026-01-31 04:00:00,77.10085
2026-01-31 05:00:00,85.57113
2026-01-31 06:00:00,101.56764
2026-01-31 07:00:00,123.896614
2026-01-31 08:00:00,148.20589
2026-01-31 09:00:00,166.25356
2026-01-31 10:00:00,169.324
2026-01-31 11:00:00,155.34377
2026-01-31 12:00:00,132.54076
2026-01-31 13:00:00,114.51789
2026-01-31 14:00:00,111.54436
2026-01-31 15:00:00,126.815926
2026-01-31 16:00:00,156.77
2026-01-31 17:00:00,192.025
2026-01-31 18:00:00,218.05023
2026-01-31 19:00:00,222.64671
2026-01-31 20:00:00,205.3613
2026-01-31 21:00:00,174.61975
2026-01-31 22:00:00,140.56802
2026-01-31 23:00:00,106.52583
2026-02-01 00:00:00,75.64179
2026-02-01 01:00:00,63.13082
2026-02-01 02:00:00,63.731236
2026-02-01 03:00:00,62.688625
2026-02-01 04:00:00,63.19245
2026-02-01 05:00:00,69.58274
2026-02-01 06:00:00,83.182915
2026-02-01 07:00:00,102.89694
2026-02-01 08:00:00,125.82778
2026-02-01 09:00:00,146.41545
2026-02-01 10:00:00,156.72157
2026-02-01 11:00:00,150.9552
2026-02-01 12:00:00,132.31621
2026-02-01 13:00:00,112.71631
2026-02-01 14:00:00,103.86607
2026-02-01 15:00:00,110.920425
2026-02-01 16:00:00,132.09093
2026-02-01 17:00:00,160.63791
2026-02-01 18:00:00,185.94199
2026-02-01 19:00:00,197.36449
2026-02-01 20:00:00,190.3908
2026-02-01 21:00:00,167.38144
2026-02-01 22:00:00,137.69931
2026-02-01 23:00:00,109.11043
2026-02-02 00:00:00,85.464035
2026-02-02 01:00:00,70.75319
2026-02-02 02:00:00,67.91599
2026-02-02 03:00:00,67.31162
2026-02-02 04:00:00,67.423004
2026-02-02 05:00:00,72.19967
2026-02-02 06:00:00,83.58941
2026-02-02 07:00:00,101.18447
2026-02-02 08:00:00,122.80764
2026-02-02 09:00:00,143.77121
2026-02-02 10:00:00,156.51118
2026-02-02 11:00:00,154.0245
2026-02-02 12:00:00,137.01942
2026-02-02 13:00:00,115.97764
2026-02-02 14:00:00,103.44609
2026-02-02 15:00:00,106.31933
2026-02-02 16:00:00,124.147675
2026-02-02 17:00:00,151.04161
2026-02-02 18:00:00,177.68117
2026-02-02 19:00:00,193.71207
2026-02-02 20:00:00,192.2162
2026-02-02 21:00:00,173.0301
2026-02-02 22:00:00,144.58987
2026-02-02 23:00:00,115.590614
2026-02-03 00:00:00,90.19138
2026-02-03 01:00:00,73.01613
2026-02-03 02:00:00,69.19003
2026-02-03 03:00:00,69.39502
2026-02-03 04:00:00,69.499664
2026-02-03 05:00:00,73.20721
2026-02-03 06:00:00,83.14309
2026-02-03 07:00:00,99.50337
2026-02-03 08:00:00,120.570755
2026-02-03 09:00:00,142.17892
2026-02-03 10:00:00,157.07193
2026-02-03 11:00:00,157.521
2026-02-03 12:00:00,142.33539
2026-02-03 13:00:00,120.67991
2026-02-03 14:00:00,105.61718
2026-02-03 15:00:00,105.48404
2026-02-03 16:00:00,121.207115
2026-02-03 17:00:00,147.73021
2026-02-03 18:00:00,176.26572
2026-02-03 19:00:00,196.04233
2026-02-03 20:00:00,198.62082
2026-02-03 21:00:00,182.25273
2026-02-03 22:00:00,154.51723
2026-02-03 23:00:00,124.61736
2026-02-04 00:00:00,96.6103
2026-02-04 01:00:00,75.11292
2026-02-04 02:00:00,68.55987
2026-02-04 03:00:00,69.02205
2026-02-04 04:00:00,68.75187
2026-02-04 05:00:00,71.059006
2026-02-04 06:00:00,79.28168
2026-02-04 07:00:00,94.198395
2026-02-04 08:00:00,114.53573
2026-02-04 09:00:00,136.82959
2026-02-04 10:00:00,154.53645
2026-02-04 11:00:00,159.43019
