Timestamp,Prediction_Error,LSTM_Anomaly
2026-01-01 07:40:00,0.20421608,False
2026-01-01 07:45:00,0.24088246,False
2026-01-01 07:50:00,0.06850346,False
2026-01-01 07:55:00,0.1621995,False
2026-01-01 08:00:00,0.08661676,False
2026-01-01 08:05:00,0.23951258,False
2026-01-01 08:10:00,0.054329574,False
2026-01-01 08:15:00,0.3584422,True
2026-01-01 08:20:00,0.18141049,False
2026-01-01 08:25:00,0.07012887,False
2026-01-01 08:30:00,0.11223052,False
2026-01-01 08:35:00,0.19984192,False
2026-01-01 08:40:00,0.025148882,False
2026-01-01 08:45:00,0.0740297,False
2026-01-01 08:50:00,0.039552115,False
2026-01-01 08:55:00,0.14782356,False
2026-01-01 09:00:00,0.3164735,False
2026-01-01 09:05:00,0.045790818,False
2026-01-01 09:10:00,0.13182166,False
2026-01-01 09:15:00,0.18758142,False
2026-01-01 09:20:00,0.031076528,False
2026-01-01 09:25:00,0.13684511,False
2026-01-01 09:30:00,0.090933435,False
2026-01-01 09:35:00,0.09652262,False
2026-01-01 09:40:00,0.1513148,False
2026-01-01 09:45:00,0.035343226,False
2026-01-01 09:50:00,0.23037492,False
2026-01-01 09:55:00,0.07141077,False
2026-01-01 10:00:00,0.059931714,False
2026-01-01 10:05:00,0.2985545,False
2026-01-01 10:10:00,0.1497722,False
2026-01-01 10:15:00,0.19890203,False
2026-01-01 10:20:00,0.24576364,False
2026-01-01 10:25:00,0.3096857,False
2026-01-01 10:30:00,0.4338989,True
2026-01-01 10:35:00,0.13929762,False
2026-01-01 10:40:00,0.09136841,False
2026-01-01 10:45:00,0.13032946,False
2026-01-01 10:50:00,0.054176394,False
2026-01-01 10:55:00,0.089627124,False
2026-01-01 11:00:00,0.25781497,False
2026-01-01 11:05:00,0.28391534,False
2026-01-01 11:10:00,0.32250577,False
2026-01-01 11:15:00,0.19996147,False
2026-01-01 11:20:00,0.10947788,False
2026-01-01 11:25:00,0.12863158,False
2026-01-01 11:30:00,0.10636375,False
2026-01-01 11:35:00,0.34901693,True
2026-01-01 11:40:00,0.29735294,False
2026-01-01 11:45:00,0.18963552,False
2026-01-01 11:50:00,0.12181326,False
2026-01-01 11:55:00,0.127106,False
2026-01-01 12:00:00,0.037709445,False
2026-01-01 12:05:00,0.10610327,False
2026-01-01 12:10:00,0.19022739,False
2026-01-01 12:15:00,0.15497771,False
2026-01-01 12:20:00,0.0966701,False
2026-01-01 12:25:00,0.055885505,False
2026-01-01 12:30:00,0.1385297,False
2026-01-01 12:35:00,0.24830472,False
2026-01-01 12:40:00,0.15549593,False
2026-01-01 12:45:00,0.2537556,False
2026-01-01 12:50:00,0.14092892,False
